,country,description,id_,keywords,is_shoppable,language,name,slug,video_url,is_licensed_video,is_community,thumbnail_url,inspired_by,linked_recipes,tags,cook_time,prep_time,total_time,ratings_negative,ratings_positive,score,protein,fat,calories,sugar,carbohydrates,fiber
10,ZZ,,1001,"tasty, tasty_vegetarian",True,eng,Healthy Blueberry Banana Bread,healthy-blueberry-banana-bread,https://vid.tasty.co/output/9802/mp4_640x640/1473376198,False,False,https://img.buzzfeed.com/video-api-prod/assets/e14ac9b8fca447439548a5e89ddc2c92/BFV12519_HealthyBananaBread-ThumbTextless1080.jpg,,,"1280503,1280501,1247775,1247767,1247788,1247793,1280508,1280507,1280510,1247785,65857,64511,64505,64492,64483,64471,64466,65846",0,0,0,218,2230,92.0,4.0,1.0,175.0,20.0,37.0,2.0
11,US,,489,"tasty, tasty_vegetarian",True,eng,Cheesy Egg Toast Perfect For Breakfast,cheesy-egg-toast-perfect-for-breakfast,https://vid.tasty.co/output/31909/mp4_640x640/1495124904,False,False,https://img.buzzfeed.com/video-api-prod/assets/bd2e246b2883465abaad8fb68739f6db/BFV4562_CheesyEggToast-Thumb1080.jpg,,,"1247775,1280500,64447,64484,64492,64471,64488,64462,64444,64483,65846",0,0,0,133,2621,96.0,13.0,19.0,242.0,0.0,3.0,0.0
12,US,,3033,,True,eng,3-ingredient Pancakes,3-ingredient-pancakes,https://vid.tasty.co/output/61659/mp4_640x640/1510600164,False,False,https://img.buzzfeed.com/thumbnailer-prod-us-east-1/d87481ad207a4e53aba210f30e3df414/BFV32433_3-IngredientBreakfasts-FB1080.jpg,,,"64469,64463,64470,8091919,8091918,8091916,64467,1247787,64488,64466,64444,65859,64484,64483,1247788,1280510,1280508,64471,64465,65848",0,0,0,533,2947,85.0,4.0,3.0,80.0,4.0,9.0,1.0
13,US,,1352,,True,eng,Chocolate Strawberry Crepes ,chocolate-strawberry-crepes,https://vid.tasty.co/output/44985/mp4_640x640/1501028201,False,False,https://img.buzzfeed.com/thumbnailer-prod-us-east-1/db1cc7f949b64b60a1fd4dd08a678e7b/BFV9642_Crepes_4_Ways-FB1080.jpg,,,"64469,8091920,8091917,6854262,1247788,1280507,1280508,1280506,1247793,1247787,1247794,1280510,64484,64483,65850,64449,65848",0,0,0,143,2779,96.0,41.0,56.0,1409.0,66.0,181.0,9.0
14,ZZ,,1477,"breakfast, healthy, oats, pancakes",True,eng,Banana Pancakes,banana-pancakes,https://vid.tasty.co/output/19445/mp4_640x640/1482864702,False,False,https://img.buzzfeed.com/thumbnailer-prod-us-east-1/451780248edc49eb9fe5640250d0ec7f/pancakes-finalfb.jpg,,,"64469,64463,64470,8091919,8091916,1280507,1280508,1247788,1247787,1280510,1247785,1280498,64484,64483,65848,65859,65855,64471,64488,64462,64444",0,0,0,773,2694,78.0,4.0,3.0,116.0,9.0,18.0,2.0
15,ZZ,,2267,"buzzfeed, cake, crepe, dessert, rainbow, tasty, tasty_vegetarian",True,und,Rainbow Crepe Cake,rainbow-crepe-cake,https://vid.tasty.co/output/46981/mp4_640x640/1502402055,False,False,https://img.buzzfeed.com/thumbnailer-prod-us-east-1/fb2da9f1eb574cf4bab1261eb741dd7d/final.jpg,"{'host': 'buzzfeed.com', 'url': 'https://www.buzzfeed.com/hannahwilliams/this-chocolate-crepe-cake-is-totally-mesmerizing?utm_term=.pbY9eJv7x#.rv3dGNbYw'}",,"1280511,1247787,1247785,1280507,1280506,1280508,1247768,1247793,1280510,64483,64449,64503,64488,188967,64485,65850,65854,65848",0,0,0,294,1889,87.0,10.0,18.0,351.0,12.0,34.0,0.0
16,US,,1630,"breakfast, easy, french toast, fruit",True,eng,Cinnamon Roll French Toast Roll-up,cinnamon-roll-french-toast-roll-up,https://vid.tasty.co/output/24897/mp4_640x640/1487973901,False,False,https://img.buzzfeed.com/thumbnailer-prod-us-east-1/dc491a28007b4511b8b352254292f60f/frenchtoastrollups4ways-fb.jpg,"{'host': 'motherthyme.com', 'url': 'http://www.motherthyme.com/2016/08/cinnamon-roll-french-toast-roll-ups.html'}",,"64469,8030032,64484,1247790,1247787,1280510,1247785,1280512,1280508,1280501,1280503,64483,65859,64471,64488,64444,65840",0,0,0,127,1776,94.0,9.0,18.0,271.0,10.0,18.0,1.0
17,ZZ,,2047,"buzzfeed, fruit, junior, kid friendly, muffin, on-the-go, pancake, tasty, tasty_vegetarian, to-go",True,eng,On-The-Go Pancake Muffins,on-the-go-fruity-pancakes,https://vid.tasty.co/output/34385/mp4_640x640/1497654103,False,False,https://img.buzzfeed.com/video-api-prod/assets/5a1f8c9da3954cb2bdf94f5d3049a2e4/BFV22187_On-The-Go_Fruity_Pancakes_THUMB.jpg,,,"64469,8091918,8091916,8030032,1247775,1247771,1280506,1280510,1247785,1280508,1280507,65850,65857,64507,64492,64484,64483,65851,64471,64488,64444,65846",0,0,0,248,1700,88.0,4.0,4.0,153.0,4.0,24.0,1.0
18,ZZ,,1548,,True,eng,Strawberry Banana Smoothie Meal Prep,strawberry-banana-smoothie-meal-prep,https://vid.tasty.co/output/21229/mp4_640x640/1484865382,False,False,https://img.buzzfeed.com/thumbnailer-prod-us-east-1/013e3dfd6a1949dc9ddcb2357ade5f97/BFV16378_BreakfastSmoothieMealPrep4Ways_FB1080SQ.jpg,,,"64470,64484,64488,1280503,1280501,1247785,1280507,1280506,1247796,64444,64487,64483,65853,64466,65843,65838",0,0,0,125,1776,94.0,17.0,3.0,299.0,39.0,53.0,6.0
19,US,"If you want a cinnamon roll in a pinch, this 4-minute mug cinnamon roll is the recipe for you. It makes 2, so you can share with a friend or loved one.",6097,hub,True,eng,4-Minute Mug Cinnamon Rolls,4-minute-mug-cinnamon-rolls,https://vid.tasty.co/output/162279/hls24_1583947089.m3u8,False,False,https://img.buzzfeed.com/video-api-prod/assets/e1ae0c64d70e42e49d92560bb7d6186e/4min.jpg,,,"64469,8091748,8091747,8091744,64472,65857,65854,64483,1280507,65850,65845,64471,1280512,1280510,1280506,1280508",2,2,7,539,1597,75.0,12.0,11.0,569.0,54.0,102.0,2.0
20,US,,3600,"beaten eggs, egg whites, egg yolks, eggs, fluffy omelet, fluffy omelette, french omelet, french omelette, omelet, omelette, super fluffy omelet, super fluffy omelette, tasty, tasty_vegetarian, whipped eggs",True,eng,Super Fluffy Omelet,super-fluffy-omelet,https://vid.tasty.co/output/84188/landscape_480/1520887577,False,False,https://img.buzzfeed.com/thumbnailer-prod-us-east-1/video-api/assets/143172.jpg,"{'host': 'youtube.com', 'url': 'https://www.youtube.com/watch?v=z3c7tGP0Kcg'}",,"8091756,64469,8091918,8091917,64467,65859,1280501,1280503,1280508,64484,64483,1247788,1247785,1280510,1247793,1247787,65848,65855,64471,64462",0,0,0,258,1679,87.0,31.0,35.0,463.0,1.0,1.0,0.0
21,US,,2868,,True,eng,Strawberry Chocolate Overnight Oats,strawberry-chocolate-overnight-oats,https://vid.tasty.co/output/57232/mp4_640x640/1508449017,False,False,https://img.buzzfeed.com/thumbnailer-prod-us-east-1/469b36bdcd1748c0b65dcd9b547eb2e9/BFV30507_Kid-FriendlyBreakfastMealPrep.jpg,,,"64469,8091920,5812430,1280501,1280503,1280508,1280507,1280506,64444,64483,65853,64488,64466,64471",0,0,0,239,1430,86.0,16.0,5.0,372.0,14.0,65.0,9.0
22,US,,682,"fluffy pancakes, fruit, japanese fluffy pancakes, japanese pancakes, pancakes, tasty, tasty_vegetarian",True,eng,Fluffy Japanese Pancakes,fluffy-japanese-pancakes,https://vid.tasty.co/output/17778/mp4_640x640/1481738464,False,False,https://img.buzzfeed.com/video-api-prod/assets/5948dace4551484287a85a49b6e5c773/BFV15479_FluffyJapanesePancakes-ThumbC1080.jpg,,,"65859,1247793,1280506,1280508,1280507,1247788,1247787,1247785,64484,65844,65850,64483,64454,64488,65848",0,0,0,263,1531,86.0,16.0,10.0,317.0,18.0,38.0,2.0
23,US,,3008,"bake, baking, breakfast, butter, buzzfeed, chocolate, croissants, dessert, pastry, tasty, tasty_vegetarian",True,eng,Homemade Chocolate Croissants (Pain Au Chocolate),homemade-chocolate-croissants-pain-au-chocolate,https://vid.tasty.co/output/61062/mp4_640x640/1510265818,False,False,https://img.buzzfeed.com/thumbnailer-prod-us-east-1/video-api/assets/113581.jpg,"{'host': 'finecooking.com', 'url': 'http://www.finecooking.com/recipe/classic-croissants'}",,"8030032,1247780,64488,1280497,64500,188967,64492,1247784,64483,64485,1280500,1247794,1280507,1280512,64462,65850,64449,65846",0,0,0,131,1680,93.0,11.0,37.0,687.0,20.0,76.0,3.0
24,US,,1358,,True,eng,Strawberry Cheesecake French Toast,strawberry-cheesecake-french-toast-1,https://vid.tasty.co/output/40734/mp4_640x640/1498787327,False,False,https://img.buzzfeed.com/thumbnailer-prod-us-east-1/784939065f344700bd9be3791a83a379/BFV8700_French_Toast_4_Ways_FB1080.jpg,,,"64469,8091917,6854262,1280507,1280503,1280501,1247794,1247788,1247787,1280506,1280508,1247785,1280510,65410,64484,65859,64483,65856,64471,64488,64462,64449,64444,65848",0,0,0,100,1303,93.0,27.0,72.0,899.0,39.0,48.0,3.0
25,US,,3079,"bread, buzzfeed, gluten free, healthy, high protein, low calorie, quick and easy, tasty, tasty_vegetarian, three ingredient, vegetarian",True,eng,Cloud Bread,cloud-bread,https://vid.tasty.co/output/30799/mp4_640x640/1493831215,False,False,https://img.buzzfeed.com/thumbnailer-prod-us-east-1/ee9f5904ce33444182bb12e2dce0b005/Tasty_-_Facebook_-_1080x1080.jpg,,,"8091756,64469,64470,8091916,64467,1280507,64471,1247775,1280508,1247788,1280510,1247785,64492,64484,64483,1280500,1247780,64488,65846",0,0,0,383,1290,78.0,9.0,12.0,153.0,0.0,1.0,0.0
26,ZZ,,1048,,True,eng,Egg Breakfast Cups,egg-breakfast-cups,https://vid.tasty.co/output/20779/mp4_640x640/1484351132,False,False,https://img.buzzfeed.com/video-api-prod/assets/d173fe0e773a4bd28548f080b3bc48be/BFV16169_EggBreakfastCupsThumb.jpg,,,"1247785,1280507,1280508,1247793,1280503,1280501,1280506,1247775,1247771,65855,64492,64483,64484,64471,64488,64466,64444,65846",0,0,0,51,1202,96.0,7.0,5.0,98.0,2.0,5.0,1.0
27,US,,3809,"tasty, tasty_vegetarian",True,eng,Cinnamon Roll Pancakes With Chloe Coscarelli,cinnamon-roll-pancakes-with-chloe-coscarelli,https://vid.tasty.co/output/91956/landscape_480/1525130258,False,False,https://img.buzzfeed.com/thumbnailer-prod-us-east-1/video-api/assets/153405.jpg,,,"64469,1691104,64484,64444,1247793,1247787,65850,1247788,1280508,64488,1280506,64462,1280510,64483,1247796,1280507,1247785,64471,65848",0,0,0,251,1606,87.0,,,,,,
28,US,,963,"tasty, tasty_vegetarian",True,eng,Berry Smoothie Bowl,berry-smoothie-bowl,https://vid.tasty.co/output/31865/mp4_640x640/1495124879,False,False,https://img.buzzfeed.com/video-api-prod/assets/98347db4add448a19bd34354e41e8f07/BFV8604_BerrySmoothieBowl_ThumbA.jpg,,,"1280508,1280503,1280501,1280507,1280506,64510,64466,64465,65854,64484,65838,64444,64483,64471",0,0,0,89,1211,94.0,17.0,21.0,471.0,33.0,60.0,14.0
29,US,,4030,,True,eng,Simple Scrambled Eggs,simple-scrambled-eggs,https://vid.tasty.co/output/97925/landscape_480/1528493552,False,False,https://img.buzzfeed.com/thumbnailer-prod-us-east-1/2024e2205d444a9c9121603aa3a26e94/finalFB.jpg,,,"64469,64470,8091916,65859,1280508,1691104,64484,1247785,1247787,65855,1280510,64471,64488,64483,1247788,1247793,65848",0,0,0,94,1408,94.0,7.0,8.0,115.0,0.0,0.0,0.0
30,US,,3349,,True,eng,Blueberry Overnight Oats,blueberry-overnight-oats,https://vid.tasty.co/output/52140/mp4_640x640/1505350510,False,False,https://img.buzzfeed.com/thumbnailer-prod-us-east-1/9849b4ae2abc41f8abf5ad1c6ccb5720/BFV26703_Oats_FB_Cut5.jpg,"{'host': 'lecremedelacrumb.com', 'url': 'http://www.lecremedelacrumb.com/blueberry-muffin-overnight-oats/'}",,"64469,8091920,64488,64471,65853,1247785,1280507,1280506,1280508,64483,64462,64466",0,0,0,61,1181,96.0,17.0,10.0,496.0,27.0,85.0,8.0
31,ZZ,,1174,"bread, diy, flour, homemade, sandwich, tasty, tasty_vegetarian, whole wheat, yeast",True,eng,Whole Wheat Sandwich Bread,whole-wheat-sandwich-bread,https://vid.tasty.co/output/31493/mp4_640x640/1494634693,False,False,https://img.buzzfeed.com/video-api-prod/assets/7b247ac254624c7d8b540f635684b6ac/BFV20811_WholeWheatSanwichBreadThumbA.jpg,,,"64483,1280501,1280502,1247775,1280500,1280512,1280503,1247784,1280510,1247788,1280506,64484,64488,64505,64492,64466,64444,65846",0,0,0,75,1171,94.0,4.0,2.0,145.0,0.0,26.0,2.0
32,ZZ,,1778,"bacon, bake, breakfast, breakfast in bed, brunch, buzzfeed, eggs, holiday, mother's day, pancakes, tasty ",True,eng,Bacon Egg Cups,bacon-egg-cups,https://vid.tasty.co/output/31174/mp4_640x640/1494276313,False,False,https://img.buzzfeed.com/thumbnailer-prod-us-east-1/4f85dfeffcc54b8b800124d6fbf69da9/BFV17497_StrawberryShortcakePancakeBreakfastInBed-FB1080SQ_MothersDay_H264.jpg,,,"8091916,8030032,6718874,1280507,1247785,1247775,1280499,64484,64492,64483,64471,64465,64444,65846",0,0,0,89,1356,94.0,14.0,12.0,175.0,0.0,0.0,0.0
33,US,,1192,"tasty, tasty_vegetarian",True,eng,Easily The Best Garlic Herb Roasted Potatoes,easily-the-best-garlic-herb-roasted-potatoes,https://vid.tasty.co/output/33063/mp4_640x640/1496182080,False,False,https://img.buzzfeed.com/video-api-prod/assets/1a323516f1d74cca8b1c2238850bfd0d/fb_thumb_3.jpg,"{'host': 'seriouseats.com', 'url': 'http://www.seriouseats.com/recipes/2016/12/the-best-roast-potatoes-ever-recipe.html'}",,"64469,64468,64463,8091920,1247775,1280500,1280510,1247794,1247786,1247788,1247785,1247787,1247789,64484,64488,64444,64492,64483,64462,65846,65848",0,0,0,55,1492,97.0,13.0,11.0,716.0,6.0,143.0,12.0
34,US,,757,"breakfast, buzzfeed, comfort food, delicious, one-pan, onion, peppers, potatoes, side dish, tasty, tasty_vegetarian",True,eng,One-Pan Breakfast Potatoes,one-pan-breakfast-potatoes,https://vid.tasty.co/output/22282/mp4_640x640/1485541605,False,False,https://img.buzzfeed.com/video-api-prod/assets/f2362cb99bbd467d9804d8e4dd586d76/BFV16569_One-PanBreakfastPotatoes_ThumbB.jpg,,,"6986107,6718874,6683353,1280508,1247780,1247775,1280500,1280501,1280503,65855,64465,65846,64484,64483,64492,64471,64466,64444,64488",0,0,0,36,1122,97.0,5.0,7.0,282.0,7.0,51.0,5.0
35,US,"This 40-minute cinnamon roll recipe is great for a weekend brunch to share with your friends.  In under an hour, you could be devouring rich and yummy cinnamon rolls topped with a classic cream cheese frosting.",6098,hub,True,eng,40-Minute Cinnamon Rolls,40-minute-cinnamon-rolls,https://vid.tasty.co/output/162279/landscape_480/1583947089,False,False,https://img.buzzfeed.com/video-api-prod/assets/3e6efda384b344e5a48cd1a13b23d3aa/40min.jpg,,,"64469,8091748,65850,64483,64484,65857,64473,1280508,64480,65846,1280506,1280507,1280510,1280512",35,5,50,54,1074,96.0,10.0,6.0,508.0,40.0,101.0,2.0
36,US,,4175,,True,eng,Blueberry Mug Muffin,blueberry-mug-muffin,https://vid.tasty.co/output/102123/landscape_480/1531775108,False,False,https://img.buzzfeed.com/thumbnailer-prod-us-east-1/2982ca12457f4113b44fafc308dda0a2/BFV45549_PortableBreakfasts-FB.jpg,"{'host': 'fivehearthome.com', 'url': 'https://www.fivehearthome.com/blueberry-muffin-mug-cake/'}",,"64469,1247785,64471,64444,1280507,64488,65845,1280509,64483,1280508,1280506",0,0,0,129,1059,90.0,7.0,25.0,501.0,25.0,63.0,2.0
37,GB,,1197,"breakfast, cloud eggs, easy, healthy, low-carb, simple, tasty, tasty_vegetarian",True,eng,Cloud Eggs,cloud-eggs,https://vid.tasty.co/output/31425/mp4_640x640/1494607751,False,False,https://img.buzzfeed.com/thumbnailer-prod-us-east-1/734dc17209ce454190cb60fa5a2a604d/Cloud_Eggs_FB_FINAL.jpg,,,"64469,64463,64470,8091916,6361701,1280508,1280503,1280501,1247775,1247785,64471,1280500,1247794,1280510,188967,64492,64449,64483,65846,65844",0,0,0,168,982,86.0,7.0,5.0,90.0,0.0,0.0,0.0
38,US,,3350,,True,eng,PB&J Overnight Oats,pb-j-overnight-oats,https://vid.tasty.co/output/52140/mp4_640x640/1505350510,False,False,https://img.buzzfeed.com/thumbnailer-prod-us-east-1/959a376f641446f5845fb67797abd593/BFV26703_Oats_FB_Cut5.jpg,"{'host': 'readyseteat.com', 'url': 'https://www.readyseteat.com/recipes-PB--J-Overnight-Oats-8204'}",,"64469,8091920,7560083,64488,65853,1247785,1280507,1280506,1280508,64483,64444,64471,64466",0,0,0,86,994,93.0,21.0,20.0,543.0,19.0,72.0,9.0
39,ZZ,,1607,,True,eng,Chocolate Chip Muffin Mug,chocolate-chip-muffin-mug,https://vid.tasty.co/output/25425/mp4_640x640/1488497369,False,False,https://img.buzzfeed.com/thumbnailer-prod-us-east-1/7167cb2e14a9472e867b8d12fbda182b/Final.jpg,,,"64469,64463,64483,64484,1280508,1247788,1280506,1280507,1247785,65854,64471,64488,65850,65845",0,0,0,228,990,82.0,15.0,20.0,547.0,56.0,83.0,4.0
40,ZZ,,519,"tasty, tasty_vegetarian",True,eng,Egg White Breakfast Cups (Under 50 Calories) ,egg-white-breakfast-cups,https://vid.tasty.co/output/9811/mp4_640x640/1473379439,False,False,https://img.buzzfeed.com/video-api-prod/assets/6a1e62a59fa74c04b2d78556bdd54486/BFV12297_EggWhiteBreakfastCups-ThumbTextless1080.jpg,,,"1280503,1280508,1247785,65853,1247775,1280506,1280507,1247771,1280501,64484,64444,64483,65846,64492,64471,65855,64465,64466",0,0,0,109,1144,92.0,12.0,9.0,139.0,0.0,1.0,0.0
41,ZZ,,2875,", avocado, bell peppers, breakfast, busy, easy, eggs, fast, fruits, healthy, mom, morning, oatmeal, options, parfait, prep, protein, quick, routine, toast, upgraded, veggies",True,und,"Egg, Avocado, & Tomato Toast",egg-avocado-tomato-toast,https://vid.tasty.co/output/57653/mp4_640x640/1508540059,False,False,https://img.buzzfeed.com/thumbnailer-prod-us-east-1/fdefc6a60e104230863602130889a0f8/BFV29670_4BreakfastsUnderTenMinutes.jpg,,,"64469,64463,64470,6854262,4708980,64484,64483,64471,64466,64444,65848",0,0,0,42,1019,97.0,,,,,,
42,US,,1415,", banana, brownies, cupcakes, fresh, healthy, ice cream, out, pancakes, swap, swap outs",True,eng,Blueberry Banana Pancakes,blueberry-banana-pancakes,https://vid.tasty.co/output/14770/mp4_640x640/1479239773,False,False,https://img.buzzfeed.com/thumbnailer-prod-us-east-1/c6fe300b72304788a9716a06f5b3563f/BFV14028_Banana_Swap_Out_4_Ways_FB1080_1.jpg,,,"64469,64463,64470,8091919,8091918,8091916,64467,6830252,6683350,1247794,1247787,1247788,64484,64483,64471,64466,64444,65848",0,0,0,271,1001,79.0,4.0,3.0,80.0,4.0,9.0,1.0
43,US,,1191,"tasty, tasty_vegetarian",True,eng,Chocolate Pancakes,chocolate-pancakes,https://vid.tasty.co/output/39762/mp4_640x640/1498771102,False,False,https://img.buzzfeed.com/thumbnailer-prod-us-east-1/8699c54e9f7e4c988a12bcc44d7db0b4/BFV9318_PancakesToutChocolat_ChocolatePancakes-ENG.jpg,"{'host': 'cooking.nytimes.com', 'url': 'https://cooking.nytimes.com/recipes/1017748-bobby-flays-double-chocolate-pancakes'}",,"64469,1247793,1247787,1280510,1247785,1247788,1280513,1280508,1280506,1280507,65850,64462,65859,64484,64483,65851,64488,64449,65848",0,0,0,122,1108,91.0,14.0,49.0,684.0,30.0,56.0,4.0
44,US,,1164,"tasty, tasty_vegetarian",True,eng,Strawberry Banana Pancake Skewers,strawberry-banana-pancake-skewers,https://vid.tasty.co/output/30666/mp4_640x640/1493742351,False,False,https://img.buzzfeed.com/video-api-prod/assets/5620f65172bf4e018474423a3a96973b/BFV20569_Strawberry_Banana_Pancake_Skewers_FB_THUMB.jpg,,,"8030032,65848,1280503,1280513,1280506,1247793,1247787,1280508,1280507,64484,64483,65851,64471,64466,65410,64510,64507,65859,64488,64444,64447",0,0,0,63,951,94.0,7.0,5.0,227.0,7.0,36.0,0.0
45,US,,1636,"breakfast, cheese, easy, eggs, healthy, meal prep, muffins, quesadilla, yogurt",True,eng,Make-Ahead Breakfast Quesadilla,make-ahead-breakfast-quesadilla,https://vid.tasty.co/output/26151/mp4_640x640/1489102618,False,False,https://img.buzzfeed.com/thumbnailer-prod-us-east-1/c08ab5dacb424699a3ef8f31e50f32bb/makeaheadbreakfast-fb.jpg,,,"64470,8091918,8091917,6830252,1280508,1280510,1247785,1247787,1247788,1280501,1280503,65859,64483,65853,64471,65410,64457,64444,65848",0,0,0,41,1223,97.0,35.0,36.0,578.0,2.0,25.0,0.0
